loss,val_loss,val_y_reg_24h_loss,val_y_reg_24h_mae,val_y_reg_48h_loss,val_y_reg_48h_mae,val_y_reg_72h_loss,val_y_reg_72h_mae,y_reg_24h_loss,y_reg_24h_mae,y_reg_48h_loss,y_reg_48h_mae,y_reg_72h_loss,y_reg_72h_mae,learning_rate
0.6840616464614868,0.551822304725647,0.18139290809631348,0.44514328241348267,0.18985992670059204,0.4610198736190796,0.187185138463974,0.4563828110694885,0.22497457265853882,0.5216425657272339,0.22330360114574432,0.5207783579826355,0.23523180186748505,0.536410391330719,0.0010000000474974513
0.4491574764251709,0.557443380355835,0.18211866915225983,0.4440443217754364,0.1916806399822235,0.45906609296798706,0.19001491367816925,0.4566536545753479,0.14536690711975098,0.3976263105869293,0.14916864037513733,0.4038342535495758,0.154537171125412,0.4128170311450958,0.0010000000474974513
0.39985063672065735,0.5865544676780701,0.19175034761428833,0.4560437798500061,0.20029640197753906,0.46868282556533813,0.19887971878051758,0.4671030342578888,0.13132166862487793,0.3734210431575775,0.13069672882556915,0.3733746409416199,0.13782012462615967,0.38484787940979004,0.0010000000474974513
0.3719981908798218,0.612668514251709,0.19802795350551605,0.46397876739501953,0.20909759402275085,0.4799296259880066,0.20830847322940826,0.479711651802063,0.12367530912160873,0.3606092929840088,0.11988238245248795,0.3552289605140686,0.1284063160419464,0.36910364031791687,0.0010000000474974513
0.35426971316337585,0.6151524186134338,0.19792364537715912,0.4630584716796875,0.21060611307621002,0.4798639714717865,0.21028630435466766,0.48104327917099,0.11866727471351624,0.3513979911804199,0.11242327094078064,0.34253475069999695,0.12315234541893005,0.35940128564834595,0.0010000000474974513
0.340299516916275,0.6261581778526306,0.20056842267513275,0.4661184251308441,0.21477535367012024,0.48550698161125183,0.2135334312915802,0.48576539754867554,0.11471593379974365,0.3445444107055664,0.10649047791957855,0.33207401633262634,0.1190817654132843,0.3516196012496948,0.0005000000237487257
0.334036648273468,0.6301797032356262,0.20117753744125366,0.4676772952079773,0.2160676121711731,0.48686444759368896,0.21516434848308563,0.48777201771736145,0.11274272948503494,0.34099239110946655,0.10376763343811035,0.32692623138427734,0.11752384901046753,0.3487277925014496,0.0005000000237487257
0.3290112018585205,0.6371520161628723,0.20355987548828125,0.47046780586242676,0.21909838914871216,0.49068915843963623,0.21677973866462708,0.48970499634742737,0.11125227808952332,0.3380431532859802,0.10169543325901031,0.32317230105400085,0.11601806432008743,0.3456389605998993,0.0005000000237487257
0.3251555860042572,0.6317459344863892,0.20177514851093292,0.4666137397289276,0.21661673486232758,0.4856812655925751,0.2148943692445755,0.48582014441490173,0.11025680601596832,0.33581453561782837,0.09988750517368317,0.31959569454193115,0.11499252170324326,0.3435136377811432,0.0005000000237487257
0.3202560842037201,0.6485351920127869,0.2060292810201645,0.4730374813079834,0.22285659611225128,0.49451369047164917,0.22079546749591827,0.4939219653606415,0.10870536416769028,0.3327985107898712,0.09794465452432632,0.3159539997577667,0.11359209567308426,0.34063249826431274,0.0002500000118743628
0.3177548348903656,0.6452810764312744,0.20547214150428772,0.4717286229133606,0.22204658389091492,0.49313414096832275,0.21928638219833374,0.4917778968811035,0.10814177244901657,0.33175498247146606,0.09684852510690689,0.31387218832969666,0.11276286840438843,0.339294970035553,0.0002500000118743628
